tournamentYear,wrestlerClass,wrestlerScore,wrestlerCap,wrestlerRank,wrestlerSeed,wrestlerWeightClass,wrestlerAllAmerican,wrestlerChampion,wrestlerRecord,teamRank,teamPts
2025,Fr,18.5,196,1,1,125,1,0,19-2,1,161
2025,Sr,14.5,148,2,2,125,1,0,26-1,14,27.7
2025,So,10,139,3,3,125,1,0,18-3,6,52.5
2025,Fr,21,117,5,4,125,1,1,18-3,15,27.5
2025,Jr,1,129,4,5,125,0,0,16-2,16,25.8
2025,Jr,3,107,6,6,125,0,0,17-6,18,22.5
2025,So,17.5,93,7,7,125,1,0,20-4,3,64.7
2025,Jr,9,59,11,8,125,1,0,19-3,17,23.2
2025,Sr,7.5,87,8,9,125,1,0,19-5,4,63.7
2025,Jr,5.5,78,9,10,125,1,0,20-3,19,19.3
2025,Jr,3,38,13,11,125,0,0,21-5,40,3
2025,Jr,4,71,10,12,125,0,0,20-6,29,11.3
2025,Fr,1,10,16,13,125,0,0,15-2,38,3.5
2025,Jr,1.5,31,14,14,125,0,0,0-0,26,13
2025,Jr,0.5,45,12,15,125,0,0,14-7,27,12.8
2025,So,0.5,10,18,17,125,0,0,25-8,33,5.3
2025,Sr,1.5,26,15,18,125,0,0,24-9,37,3.8
2025,Jr,3,5,23,19,125,0,0,14-6,5,58
2025,So,1.5,10,17,20,125,0,0,21-9,7,47.7
2025,Jr,1.5,10,19,21,125,0,0,18-9,34,5.3
2025,Fr,2.5,5,21,22,125,0,0,16-11,8,42.7
2025,Sr,1.5,5,25,23,125,0,0,23-8,21,18.5
2025,Sr,0,5,26,24,125,0,0,13-9,28,11.8
2025,Jr,0.5,5,30,25,125,0,0,22-8,48,1
2025,So,0,5,28,26,125,0,0,14-7,43,2.5
2025,Jr,0,5,27,27,125,0,0,14-Oct,46,2.3
2025,So,0,5,32,28,125,0,0,19-11,24,14.5
2025,So,0,5,22,29,125,0,0,14-12,2,81.7
2025,Sr,0,5,34,31,125,0,0,17-10,25,14
2025,Jr,1,5,31,32,125,0,0,16-11,9,41.8
2025,Jr,0.5,5,36,33,125,0,0,16-Dec,53,0.5
2025,Sr,22,196,1,1,133,1,1,18-1,10,37.5
2025,Jr,19.5,148,2,2,133,1,0,16-2,2,81.7
2025,So,1.5,139,3,3,133,0,0,21-3,11,30
2025,Jr,13.5,117,5,4,133,1,0,14-4,24,14.5
2025,Jr,1,93,7,5,133,0,0,21-2,19,19.3
2025,Sr,9,129,4,6,133,1,0,15-1,6,52.5
2025,So,4,78,9,7,133,0,0,22-6,7,47.7
2025,So,13,107,6,8,133,1,0,5-Dec,1,161
2025,Jr,1,71,10,9,133,0,0,23-4,22,16.7
2025,Jr,1.5,59,11,10,133,0,0,19-9,29,11.3
2025,So,2,87,8,11,133,0,0,19-4,20,19.2
2025,Jr,0.5,38,13,12,133,0,0,21-5,26,13
2025,Fr,6.5,31,14,13,133,1,0,24-6,23,14.8
2025,Fr,14.5,26,15,14,133,1,0,20-7,40,3
2025,Sr,1,10,18,15,133,0,0,20-6,45,2.5
2025,Sr,1,5,27,16,133,0,0,22-6,33,5.3
2025,So,8,10,16,17,133,1,0,14-9,4,63.7
2025,Jr,1,10,17,18,133,0,0,17-6,8,42.7
2025,Fr,0,5,22,19,133,0,0,25-6,50,1
2025,Jr,0,5,24,20,133,0,0,21-6,53,0.5
2025,Sr,3,10,19,21,133,0,0,20-9,37,3.8
2025,So,1,5,21,22,133,0,0,8-Nov,5,58
2025,Jr,1.5,5,29,23,133,0,0,27-9,35,5
2025,Sr,0,10,20,24,133,0,0,25-11,46,2.3
2025,Sr,0.5,5,25,25,133,0,0,22-8,42,3
2025,Jr,0,45,12,26,133,0,0,7-Dec,15,27.5
2025,Jr,0,5,26,27,133,0,0,25-6,48,1
2025,Fr,0.5,5,30,29,133,0,0,5-Dec,9,41.8
2025,Jr,1,5,31,30,133,0,0,19-14,21,18.5
2025,So,0,5,33,31,133,0,0,17-Dec,12,29.2
2025,Jr,0,5,37,33,133,0,0,18-Jul,13,28.7
2025,Jr,20.5,148,2,1,141,1,0,23-3,4,63.7
2025,Sr,14.5,196,1,2,141,1,0,21-1,1,161
2025,Jr,23.5,139,3,3,141,1,1,25-3,7,47.7
2025,Sr,13,87,8,4,141,1,0,23-3,32,8.2
2025,Jr,12,129,4,5,141,1,0,24-3,8,42.7
2025,Jr,5.5,117,5,6,141,1,0,23-4,5,58
2025,So,5.5,93,7,7,141,0,0,20-4,3,64.7
2025,Sr,1,107,6,8,141,0,0,16-1,19,19.3
2025,So,9,78,9,9,141,1,0,30-7,20,19.2
2025,Sr,12.5,45,12,10,141,1,0,0-0,33,5.3
2025,So,2,38,13,11,141,0,0,14-1,43,2.5
2025,Sr,0,59,11,12,141,0,0,23-7,6,52.5
2025,Sr,0,10,18,13,141,0,0,20-3,50,1
2025,So,4,71,10,14,141,0,0,20-9,13,28.7
2025,Jr,1.5,31,14,15,141,0,0,18-9,29,11.3
2025,Jr,2,10,16,16,141,0,0,26-4,45,2.5
2025,Sr,0,5,22,17,141,0,0,25-8,53,0.5
2025,Jr,2.5,26,15,18,141,0,0,16-11,21,18.5
2025,Sr,1,10,17,19,141,0,0,14-6,34,5.3
2025,Sr,1,5,21,20,141,0,0,0-0,9,41.8
2025,Jr,4,10,20,21,141,0,0,19-5,42,3
2025,Jr,0,5,23,22,141,0,0,19-7,48,1
2025,Jr,0,10,19,23,141,0,0,13-10,12,29.2
2025,So,0.5,5,24,24,141,0,0,20- ,23,14.8
2025,So,1,5,28,26,141,0,0,17-7,38,3.5
2025,So,1.5,5,31,27,141,0,0,14-11,14,27.7
2025,Jr,3,5,26,28,141,0,0,13-6,10,37.5
2025,So,0.5,5,33,29,141,0,0,14-12,26,13
2025,Jr,0.5,5,38,30,141,0,0,9-Dec,28,11.8
2025,Jr,0,5,30,31,141,0,0,16-Dec,18,22.5
2025,So,2.5,5,34,32,141,0,0,9-Nov,27,12.8
2025,Jr,0,5,37,33,141,0,0,2-May,50,1
2025,Jr,16,196,1,1,149,1,0,18-0,6,52.5
2025,Sr,22.5,148,2,2,149,1,1,20-2,4,63.7
2025,Jr,19.5,139,3,3,149,1,0,20-2,1,161
2025,Fr,1,107,6,4,149,0,0,25-4,20,19.2
2025,Sr,1,129,4,5,149,0,0,20-3,2,81.7
2025,Jr,12,117,5,6,149,1,0,20-5,26,13
2025,Fr,3,78,9,7,149,0,0,14-6,10,37.5
2025,So,4,93,7,8,149,0,0,24-4,11,30
2025,Jr,4,26,15,9,149,0,0,22-3,33,5.3
2025,Sr,1,71,10,10,149,0,0,21-5,8,42.7
2025,Sr,6.5,38,13,11,149,1,0,20-5,40,3
2025,Fr,12,87,8,12,149,1,0,0-0,27,12.8
2025,Jr,12.5,59,11,13,149,1,0,21-5,7,47.7
2025,Jr,1.5,45,12,14,149,0,0,14-2,24,14.5
2025,So,1,10,16,15,149,0,0,20-3,38,3.5
2025,So,0,5,29,16,149,0,0,26-8,48,1
2025,Sr,1,31,14,17,149,0,0,20-10,23,14.8
2025,Jr,3,10,17,18,149,0,0,17-8,9,41.8
2025,Sr,1,10,19,19,149,0,0,0-0,29,11.3
2025,Fr,0,10,18,20,149,0,0,0-0,15,27.5
2025,Jr,0.5,10,20,21,149,0,0,20-6,34,5.3
2025,So,8,5,23,22,149,1,0,20-9,46,2.3
2025,Jr,0,5,25,24,149,0,0,24-8,35,5
2025,Sr,1.5,5,32,25,149,0,0,14-7,17,23.2
2025,Jr,0,5,26,26,149,0,0,21-10,22,16.7
2025,Jr,0,5,33,27,149,0,0,0-0,52,0.8
2025,Fr,0,5,28,28,149,0,0,0-0,13,28.7
2025,So,2.5,5,21,29,149,0,0,0-0,43,2.5
2025,Jr,0,5,27,30,149,0,0,0-0,39,3.3
2025,Fr,0,5,30,31,149,0,0,16-10,44,2.5
2025,So,0.5,5,35,32,149,0,0,0-0,53,0.5
2025,Jr,5,5,22,33,149,0,0,3-Apr,3,64.7
